,Estaciones
40,/g/precios-combustible-gasolinera-bp-carretera-nacional-634-km.-224-en-el-municipio-oviedo
41,/g/precios-combustible-gasolinera-repsol-cl-cudillero--esq.ccatedr.luis-sel-en-el-municipio-oviedo
42,/g/precios-combustible-gasolinera-bp---cuyences-glorieta-elevada-de-la-corredoria-sobre-la-as-ii-sn-en-el-municipio-oviedo
43,/g/precios-combustible-gasolinera-shell-avda-gijon-147-ctra-as-18-km-226-en-el-municipio-oviedo
44,/g/precios-combustible-gasolinera-cepsa-plaza-ruiz-de-la-pea-sn-as-18-km-01-en-el-municipio-oviedo
45,/g/precios-combustible-gasolinera-repsol-calle-molin-de-la-casuca-sn-en-el-municipio-oviedo
46,/g/precios-combustible-gasolinera-repsol-autopista-a-66-km.-33-en-el-municipio-oviedo
47,/g/precios-combustible-gasolinera-repsol-avenida-buenavista-sn-en-el-municipio-oviedo
48,/g/precios-combustible-gasolinera-cepsa-carretera-n-634-km.-409-en-el-municipio-oviedo
49,/g/precios-combustible-gasolinera-repsol-calle-buenavista-sn-en-el-municipio-oviedo
50,/g/precios-combustible-gasolinera-campsa-calle-general-elorza-30-en-el-municipio-oviedo
51,/g/precios-combustible-gasolinera-galp-las-mazas-55-san-claudio-en-el-municipio-oviedo
52,/g/precios-combustible-gasolinera-repsol-calle-santa-apolonia-161-en-el-municipio-aviles
53,/g/precios-combustible-gasolinera-los-canapes-travesia-los-canapes-2-en-el-municipio-aviles
54,/g/precios-combustible-gasolinera-shell-calle-buenavista-100-en-el-municipio-aviles
55,/g/precios-combustible-gasolinera-la-ria-avda.-conde-de-guadalhorce-69-en-el-municipio-aviles
56,/g/precios-combustible-gasolinera-reposta-travesia-torno-del-2-en-el-municipio-aviles
57,/g/precios-combustible-gasolinera-repsol-avenida-gijon-70-en-el-municipio-aviles
58,/g/precios-combustible-gasolinera-zepxa-eco-calle-buenavista-63-en-el-municipio-aviles
59,/g/precios-combustible-gasolinera-repsol-avenida-de-lugo-24-en-el-municipio-aviles
60,/g/precios-combustible-gasolinera-shell-avda.-cristobal-colon-sn-en-el-municipio-aviles
61,/g/precios-combustible-gasolinera-shell-avda.-de-san-agustin-sn-en-el-municipio-aviles
62,/g/precios-combustible-gasolinera-avia-avenida-lugo-110-en-el-municipio-aviles
63,/g/precios-combustible-gasolinera-repsol-carretera-as-238-parq.-empres.-principado-asturias-km.-08-en-el-municipio-aviles
64,/g/precios-combustible-gasolinera-cepsa-avda.-de-los-telares-27-n-632-km-944-en-el-municipio-aviles
65,/g/precios-combustible-gasolinera-repsol-autopista-a-8-km.-456-en-el-municipio-siero
66,/g/precios-combustible-gasolinera-campsa-avenida-de-oviedo-13-en-el-municipio-siero
67,/g/precios-combustible-gasolinera-las-palmeras-carretera-as-249-km.-85-en-el-municipio-siero
68,/g/precios-combustible-gasolinera-repsol-carretera-si-04-km.-5-en-el-municipio-siero
69,/g/precios-combustible-gasolinera-repsol-plaza-arguelles-sn-en-el-municipio-siero
70,/g/precios-combustible-gasolinera-repsol-carretera-n-634-berron-el-km.-347-en-el-municipio-siero
71,/g/precios-combustible-gasolinera-carrefour-calle-amado-moran-sn-sn-en-el-municipio-siero
72,/g/precios-combustible-gasolinera-galp--glorieta-urbanizacion-la-fresneda-y--as-18-hoy-as-266-km-1-en-el-municipio-siero
73,/g/precios-combustible-gasolinera-petronor-cr-si-3-22-en-el-municipio-siero
74,/g/precios-combustible-gasolinera-campsa-carretera-as-246-km.-26-en-el-municipio-siero
75,/g/precios-combustible-gasolinera-repsol-carretera-as-17-km.-249-en-el-municipio-siero
76,/g/precios-combustible-gasolinera-bp---siero-viella-central-lechera-poligono-natalio-1-en-el-municipio-siero
77,/g/precios-combustible-gasolinera-bp-siero-carretera-viella-km.-0250-en-el-municipio-siero
78,/g/precios-combustible-gasolinera-campsa-carretera-n-634-km.-386517-en-el-municipio-siero
79,/g/precios-combustible-gasolinera-campsa-carretera-n-634-km.-386517-en-el-municipio-siero
80,/g/precios-combustible-gasolinera-eroski-autovia-a8-salida-456-c.c-eroski-km.-00-en-el-municipio-siero
81,/g/precios-combustible-gasolinera-repsol-poligono-poligono-riaoi-1-en-el-municipio-langreo
82,/g/precios-combustible-gasolinera-valcarce-c-higinio-carrocera-sn--barros---langreo-as-17-km-39.1-en-el-municipio-langreo
83,/g/precios-combustible-gasolinera-cepsa-avenida-la-felguera-sn-en-el-municipio-langreo
84,/g/precios-combustible-gasolinera-repsol-carretera-as-17-km.-37400-en-el-municipio-langreo
85,/g/precios-combustible-gasolinera-dismusa-masymas-calle-aliseda-umeral-polg.-ind.-de-riao-i-1-en-el-municipio-langreo
86,/g/precios-combustible-gasolinera-dismusa-poligono-industrial-de-riao-i-2627-en-el-municipio-langreo
87,/g/precios-combustible-gasolinera-repsol-poligono-valnalon-sn-en-el-municipio-langreo
88,/g/precios-combustible-gasolinera-castronalon-carretera-as-111-km.-1-en-el-municipio-langreo
89,/g/precios-combustible-gasolinera-repsol-avenida-campon---salinas-16-en-el-municipio-castrillon
90,/g/precios-combustible-gasolinera-gf-avenida-campon-el-16-en-el-municipio-castrillon
91,/g/precios-combustible-gasolinera-a.-g.--avda.-principal-37-en-el-municipio-castrillon
92,/g/precios-combustible-gasolinera-repsol-carretera-as-17-km.-485-en-el-municipio-san-martin-del-rey-aurelio
93,/g/precios-combustible-gasolinera-alcampo-carretera-as17-km.-47-en-el-municipio-san-martin-del-rey-aurelio
94,/g/precios-combustible-gasolinera-galp-carretera-as-17-km.-35-en-el-municipio-corvera-de-asturias
95,/g/precios-combustible-gasolinera-repsol-complejo-centro-comercial-parque-astur-sn-en-el-municipio-corvera-de-asturias
96,/g/precios-combustible-gasolinera-cepsa-carretera-as-19-km.-194-en-el-municipio-corvera-de-asturias
97,/g/precios-combustible-gasolinera-galp-carretera-n-632-km.-54-en-el-municipio-villaviciosa
98,/g/precios-combustible-gasolinera-repsol-cl-carlos-ciao-canto-3-n-632-km-43-en-el-municipio-villaviciosa
99,/g/precios-combustible-gasolinera-cepsa-carretera-n-632-km.-4305-en-el-municipio-villaviciosa
100,/g/precios-combustible-gasolinera-repsol-cl-cervantes-39-en-el-municipio-villaviciosa
101,/g/precios-combustible-gasolinera-repsol-carretera-lugones-aviles-km.-43-en-el-municipio-llanera
102,/g/precios-combustible-gasolinera-cepsa-carretera-as-18-km.-92-en-el-municipio-llanera
103,/g/precios-combustible-gasolinera-repsol-avenida-prudencio-gonzalez-14-en-el-municipio-llanera
104,/g/precios-combustible-gasolinera-asipo-servicios-calle-a---poligono-industrial-de-asipo-21-en-el-municipio-llanera
105,/g/precios-combustible-gasolinera-repsol-carretera-au-a-66-km.-19-en-el-municipio-llanera
106,/g/precios-combustible-gasolinera-repsol-carretera-au-a-66-km.-19-en-el-municipio-llanera
107,/g/precios-combustible-gasolinera-repsol-pg-industrial-silvota-s.n.-en-el-municipio-llanera
108,/g/precios-combustible-gasolinera-combustibles-alvarez-s.a.-polig.-ind.-silvota-ampliacion-en-el-municipio-llanera
109,/g/precios-combustible-gasolinera-repsol-autopista-as-ii-km.-98-en-el-municipio-llanera
110,/g/precios-combustible-gasolinera-el-centro-carretera-as-115-km.-2-en-el-municipio-llanes
111,/g/precios-combustible-gasolinera-galp-autovia-autovia-a8-km.-310-en-el-municipio-llanes
112,/g/precios-combustible-gasolinera-galp-autovia-autovia-a8-km.-310-en-el-municipio-llanes
113,/g/precios-combustible-gasolinera-meroil-carretera-as-263-km.-19-en-el-municipio-llanes
114,/g/precios-combustible-gasolinera-repsol-carretera-n.-634-km.-2991-en-el-municipio-llanes
115,/g/precios-combustible-gasolinera-cepsa-poligono-el-sutu-sn-en-el-municipio-laviana
116,/g/precios-combustible-gasolinera-avia-poligono-el-sutu-sn-en-el-municipio-laviana
117,/g/precios-combustible-gasolinera-repsol-avenida-de-oviedo-3-en-el-municipio-cangas-del-narcea
118,/g/precios-combustible-gasolinera-cepsa-carretera-cornellana-puerto-de-cerredo-km.-154-en-el-municipio-cangas-del-narcea
119,/g/precios-combustible-gasolinera-florez-cosmen-s.l.-avenida-alejandro-casona-35-en-el-municipio-cangas-del-narcea
120,/g/precios-combustible-gasolinera-cepsa-carretera-n-634-oviedo-ribadeo-km.-485-en-el-municipio-valdes
121,/g/precios-combustible-gasolinera-cepsa-carretera-n-632-km.-1468-en-el-municipio-valdes
122,/g/precios-combustible-gasolinera-galp--n-634-509120-en-el-municipio-valdes
123,/g/precios-combustible-gasolinera-repsol-avenida-buenavista-6-en-el-municipio-valdes
124,/g/precios-combustible-gasolinera-galp-carretera-crta-n-634-km.-502-en-el-municipio-valdes
125,/g/precios-combustible-gasolinera-bp-san-pablo-cl-hermanos-granda-sn-en-el-municipio-lena
126,/g/precios-combustible-gasolinera-cepsa-autovia-a-66-mrg.dcho.-km.-585-en-el-municipio-lena
127,/g/precios-combustible-gasolinera-cepsa-autovia-a-66-mrg.izdo.-km.-585-en-el-municipio-lena
128,/g/precios-combustible-gasolinera-galp-calle-constitucion-91-en-el-municipio-aller
129,/g/precios-combustible-gasolinera-repsol-as-112-km-58-en-el-municipio-aller
130,/g/precios-combustible-gasolinera-repsol-pg-pol.industrial-de-caborana-en-el-municipio-aller
131,/g/precios-combustible-gasolinera-cepsa-carretera-as-19-km.-9600-en-el-municipio-carreo
132,/g/precios-combustible-gasolinera-esoil-lugar-la-barca-sn-en-el-municipio-carreo
133,/g/precios-combustible-gasolinera-avia-poligono-de-tabaza-ii-parcela-28-as-110-km-78-en-el-municipio-carreo
134,/g/precios-combustible-gasolinera-bp---carreo-via-as-110-7-en-el-municipio-carreo
135,/g/precios-combustible-gasolinera-galp-carretera-as-329-km.-41-en-el-municipio-carreo
136,/g/precios-combustible-gasolinera-petronor-autovia-a-8-km.-4015-en-el-municipio-carreo
137,/g/precios-combustible-gasolinera-petronor-autopista-a-8-km.-4015-en-el-municipio-carreo
138,/g/precios-combustible-gasolinera-repsol-carretera-as-238-km.-111-en-el-municipio-gozon
139,/g/precios-combustible-gasolinera-cepsa-carretera-nacional-634-km.-4313-en-el-municipio-grado
140,/g/precios-combustible-gasolinera-repsol-cl-florez-estrada-46-en-el-municipio-grado
141,/g/precios-combustible-gasolinera-cepsa-carretera-as-219-km.-5200-en-el-municipio-tineo
142,/g/precios-combustible-gasolinera-repsol-cl-gonzalez-mayo-s.n.-en-el-municipio-tineo
143,/g/precios-combustible-gasolinera-repsol-as219-km-25800-en-el-municipio-tineo
144,/g/precios-combustible-gasolinera-cepsa-calle-la-fontana-sn-en-el-municipio-pravia
145,/g/precios-combustible-gasolinera-galp-calle-agustin-bravo-sn-en-el-municipio-pravia
146,/g/precios-combustible-gasolinera-petronor-avenida-de-los-emigrantes-34-en-el-municipio-navia
147,/g/precios-combustible-gasolinera-cepsa-autovia-a-8-km.-521-en-el-municipio-navia
148,/g/precios-combustible-gasolinera-eroski-travesia-de-la-granja-sn-en-el-municipio-navia
149,/g/precios-combustible-gasolinera-e.s.la-colorada-pol.-la-colorada-en-el-municipio-navia
150,/g/precios-combustible-gasolinera-repsol-carretera-n-634-km.-3537-en-el-municipio-piloa
151,/g/precios-combustible-gasolinera-bp-piloa-calle-covadonga-37-en-el-municipio-piloa
152,/g/precios-combustible-gasolinera-galp-arriondas-acceso-cra.-nacional-625-0-en-el-municipio-cangas-de-onis
153,/g/precios-combustible-gasolinera-repsol-avenida-covadonga-sn-en-el-municipio-cangas-de-onis
154,/g/precios-combustible-gasolinera-esc-petroleos-carretera-as-114-km.-1100-en-el-municipio-cangas-de-onis
155,/g/precios-combustible-gasolinera-repsol-avenida-palacio-valdes-42-en-el-municipio-ribadesella
156,/g/precios-combustible-gasolinera-avia-autovia-a8-km.-316-en-el-municipio-ribadesella
157,/g/precios-combustible-gasolinera-alimerka-carretera-n-632-km.-51-en-el-municipio-ribadesella
158,/g/precios-combustible-gasolinera-galp-carretera-n-634-km.-3751-en-el-municipio-nava
159,/g/precios-combustible-gasolinera-galp-carretera-n-634-km.-3797-en-el-municipio-nava
160,/g/precios-combustible-gasolinera-petronor-cr-as-15-45-en-el-municipio-salas
161,/g/precios-combustible-gasolinera-repsol-aldea-poligono-industrial-1-en-el-municipio-salas
162,/g/precios-combustible-gasolinera-galp-avenida-galicia-sn-en-el-municipio-salas
163,/g/precios-combustible-gasolinera-repsol-carretera-nacional-634-km.-4436-en-el-municipio-salas
164,/g/precios-combustible-gasolinera-cepsa-poligono-la-barreda-parcela-1-izquierda-1-en-el-municipio-norea
165,/g/precios-combustible-gasolinera-ham-avenida-oviedo-sn-en-el-municipio-norea
166,/g/precios-combustible-gasolinera-solras-carretera-ctra-ant.-n-632-km-1237-km.-1237-en-el-municipio-cudillero
167,/g/precios-combustible-gasolinera-avia-carretera-nacional-632-km-123.700-km.--en-el-municipio-cudillero
168,/g/precios-combustible-gasolinera-repsol-carretera-n-632-km.-128100-en-el-municipio-cudillero
169,/g/precios-combustible-gasolinera-repsol-autovia-del-cantabrico--a8-km.-1342-en-el-municipio-cudillero
170,/g/precios-combustible-gasolinera-galp-carretera-as16-km.-4140-en-el-municipio-soto-del-barco
171,/g/precios-combustible-gasolinera-bp---carcedo---soto-barco-carretera-n-632-km.-109-en-el-municipio-soto-del-barco
172,/g/precios-combustible-gasolinera-petronor-cl-avenida-de-asturias-67-en-el-municipio-vegadeo
173,/g/precios-combustible-gasolinera-cepsa-n-634-km-5485-en-el-municipio-tapia-de-casariego
174,/g/precios-combustible-gasolinera-repsol-avenida-general-primo-de-rivera-31-en-el-municipio-tapia-de-casariego
175,/g/precios-combustible-gasolinera-cepsa-n-634-km-5485-en-el-municipio-tapia-de-casariego
176,/g/precios-combustible-gasolinera-avia-poligono-cortaficio-calle-a-parcela-i-8-en-el-municipio-tapia-de-casariego
177,/g/precios-combustible-gasolinera-repsol-cr-n-634-5358-en-el-municipio-franco-el
178,/g/precios-combustible-gasolinera-solras-calle-laguna-de-la-1-en-el-municipio-castropol
179,/g/precios-combustible-gasolinera-mp-poligono-pol.-ind.-barres-parcela-117-1-en-el-municipio-castropol
180,/g/precios-combustible-gasolinera-repsol-cr-n-632-237-en-el-municipio-colunga
181,/g/precios-combustible-gasolinera-cepsa-autovia-a8-km-3475-en-el-municipio-colunga
182,/g/precios-combustible-gasolinera-cepsa-autovia-a8-km-3475-en-el-municipio-colunga
183,/g/precios-combustible-gasolinera-repsol-cr-n-634-5301-n-634-km-53013-en-el-municipio-coaa
184,/g/precios-combustible-gasolinera-repsol-poligono-industrial-rio-pinto-102-en-el-municipio-coaa
185,/g/precios-combustible-gasolinera-shell-ctra.n-634-km-528-en-el-municipio-coaa
186,/g/precios-combustible-gasolinera-petronor-carretera-n630-km.-367-en-el-municipio-morcin
187,/g/precios-combustible-gasolinera-esc-petroleos-carretera-as-114-km.-3280-en-el-municipio-cabrales
188,/g/precios-combustible-gasolinera-galp-avenida-riego-5-en-el-municipio-muros-de-nalon
189,/g/precios-combustible-gasolinera-petronor-carretera-nacional-634.-km.-788-en-el-municipio-ribadedeva
190,/g/precios-combustible-gasolinera-petronor-cl-avenida-de-galicia-44-en-el-municipio-allande
191,/g/precios-combustible-gasolinera-repsol-carretera-as-251-km.-142-en-el-municipio-bimenes
192,/g/precios-combustible-gasolinera-petronor-as-228-km-28-en-el-municipio-teverga
193,/g/precios-combustible-gasolinera-campsa-calle-isidoro-fontana-sn-en-el-municipio-boal
194,/g/precios-combustible-gasolinera-galp-carretera-ctra-del-puerto-sn-km.-1-en-el-municipio-belmonte-de-miranda
195,/g/precios-combustible-gasolinera-campsa-aldea-av-aurelio-menendez-sn-en-el-municipio-ibias
196,/g/precios-combustible-gasolinera-repsol-cr-n-621-176-en-el-municipio-peamellera-baja
197,/g/precios-combustible-gasolinera-ee-ss-somiedo-carretera-carretera-general-sn-km.-38-en-el-municipio-somiedo
198,/g/precios-combustible-gasolinera-el-salvador-avenida-galicia-sn-en-el-municipio-grandas-de-salime
199,/g/precios-combustible-gasolinera-estacion-de-servicio-valle-de-trubia-s.l.-carretera-as-228-km.-13-en-el-municipio-proaza
200,/g/precios-combustible-gasolinera-petronor-carretera-640-km.-26-en-el-municipio-san-tirso-de-abres
201,/g/precios-combustible-gasolinera-galp-pesoz-alto-d-l-gargantak.20740-en-el-municipio-villanueva-de-oscos
202,/g/precios-combustible-gasolinera-repsol-calle-manacor-336-en-el-municipio-palma-de-mallorca
203,/g/precios-combustible-gasolinera-cepsa-carretera-llucmajor-km10-km.-10-en-el-municipio-palma-de-mallorca
204,/g/precios-combustible-gasolinera-repsol-ae-vial-salida-aeropuerto-s.n.-en-el-municipio-palma-de-mallorca
205,/g/precios-combustible-gasolinera-repsol-calle-cami-vell-de-nubyola-sn-en-el-municipio-palma-de-mallorca
206,/g/precios-combustible-gasolinera-repsol-calle-aragon-217-en-el-municipio-palma-de-mallorca
207,/g/precios-combustible-gasolinera-repsol-calle-sant-ignasi-68-en-el-municipio-palma-de-mallorca
208,/g/precios-combustible-gasolinera-cepsa-calle-biniamar-16-en-el-municipio-palma-de-mallorca
209,/g/precios-combustible-gasolinera-petroest-calle-gabriel-alzamora-25-en-el-municipio-palma-de-mallorca
210,/g/precios-combustible-gasolinera-setgo-calle-gremi-selleters-i-basters-12-en-el-municipio-palma-de-mallorca
211,/g/precios-combustible-gasolinera-galp-gran-via-asima-23-en-el-municipio-palma-de-mallorca
212,/g/precios-combustible-gasolinera-cepsa-carretera-vieja-de-buola-km.-15-en-el-municipio-palma-de-mallorca
213,/g/precios-combustible-gasolinera-petroest-calle-gremi-cirugians-i-barbers-11-en-el-municipio-palma-de-mallorca
214,/g/precios-combustible-gasolinera-repsol-calle-cala-blanca-9-en-el-municipio-palma-de-mallorca
215,/g/precios-combustible-gasolinera-petronor-calle-gremi-de-sucrers-i-candelers-24-en-el-municipio-palma-de-mallorca
216,/g/precios-combustible-gasolinera-bp-calle-musico-isaac-albeniz-sn-en-el-municipio-palma-de-mallorca
217,/g/precios-combustible-gasolinera-repsol-calle-gremi-sucrers-y-candelers-5-en-el-municipio-palma-de-mallorca
218,/g/precios-combustible-gasolinera-shell-calle-hort-de-ses-animes-23-en-el-municipio-palma-de-mallorca
219,/g/precios-combustible-gasolinera-shell-calle-guadiana-45-en-el-municipio-palma-de-mallorca
220,/g/precios-combustible-gasolinera-bp-playa-de-palma-calle-manuela-de-los-herreros-15-en-el-municipio-palma-de-mallorca
221,/g/precios-combustible-gasolinera-bp-calle-tramuntana-sn-en-el-municipio-palma-de-mallorca
222,/g/precios-combustible-gasolinera-repsol-camino-son-fangos-151-en-el-municipio-palma-de-mallorca
223,/g/precios-combustible-gasolinera-cepsa-camino-de-las-maravilla-sn-en-el-municipio-palma-de-mallorca
224,/g/precios-combustible-gasolinera-repsol-butano-cami-la-milana-49-en-el-municipio-palma-de-mallorca
225,/g/precios-combustible-gasolinera-son-ferriol--ii-cta.-manacor-c-715-km-6.7-en-el-municipio-palma-de-mallorca
226,/g/precios-combustible-gasolinera-repsol-calle-manacor-309-en-el-municipio-palma-de-mallorca
227,/g/precios-combustible-gasolinera-bp-carretera-10-camino-de-can-capo-saranjassa-km.-717-en-el-municipio-palma-de-mallorca
228,/g/precios-combustible-gasolinera-repsol-calle-aragon-180-en-el-municipio-palma-de-mallorca
229,/g/precios-combustible-gasolinera-repsol-calle-capitan-salom-31-en-el-municipio-palma-de-mallorca
230,/g/precios-combustible-gasolinera-repsol-calle-eusebio-estada-64-en-el-municipio-palma-de-mallorca
231,/g/precios-combustible-gasolinera-bp-es-forti-calle-pascual-ribot-sn-en-el-municipio-palma-de-mallorca
232,/g/precios-combustible-gasolinera-bp-balmes-calle-jaume-balmes-44-en-el-municipio-palma-de-mallorca
233,/g/precios-combustible-gasolinera-bp-amanecer-calle-alfons-el-magnanim-90-en-el-municipio-palma-de-mallorca
234,/g/precios-combustible-gasolinera-repsol-camino-vileta-la-sn-en-el-municipio-palma-de-mallorca
235,/g/precios-combustible-gasolinera-autonetoil-calle-poima-12-en-el-municipio-palma-de-mallorca
236,/g/precios-combustible-gasolinera-repsol-camino-reis-sn-en-el-municipio-palma-de-mallorca
237,/g/precios-combustible-gasolinera-cepsa-avenida-joan-miro-22-en-el-municipio-palma-de-mallorca
238,/g/precios-combustible-gasolinera-bp-calle-andrea-doria-esquina-son-armadans-sn-en-el-municipio-palma-de-mallorca
239,/g/precios-combustible-gasolinera-bp-avenida-joan-miro-sn-en-el-municipio-palma-de-mallorca
240,/g/precios-combustible-gasolinera-bp-avenida-joan-miro-238-en-el-municipio-palma-de-mallorca
241,/g/precios-combustible-gasolinera-repsol-cami-cami-de-son-rapinya-esq.cami-del-reis-sn-en-el-municipio-palma-de-mallorca
242,/g/precios-combustible-gasolinera-repsol-plaza-progreso-sn-en-el-municipio-palma-de-mallorca
243,/g/precios-combustible-gasolinera-repsol-calle-coronel-beorlegui-49-en-el-municipio-palma-de-mallorca
244,/g/precios-combustible-gasolinera-repsol-cl-camino-can-pastilla-37-camnio-can-pastilla-37-en-el-municipio-palma-de-mallorca
245,/g/precios-combustible-gasolinera-repsol-calle-cami-salard-sn-en-el-municipio-palma-de-mallorca
246,/g/precios-combustible-gasolinera-cepsa-calle-camino-de-los-reyes-201-en-el-municipio-palma-de-mallorca
247,/g/precios-combustible-gasolinera-repsol-carretera-c-711-palma-soller-km.-7-en-el-municipio-palma-de-mallorca
248,/g/precios-combustible-gasolinera-galp-calle-manuel-azaa-5-en-el-municipio-palma-de-mallorca
249,/g/precios-combustible-gasolinera-repsol-avenida-gabriel-alomar-y-villalonga-sn-en-el-municipio-palma-de-mallorca
250,/g/precios-combustible-gasolinera-bp-avenida-america-arenal-18-en-el-municipio-palma-de-mallorca
251,/g/precios-combustible-gasolinera-cepsa-plaza-francesc-garcia-i-orell-sn-en-el-municipio-palma-de-mallorca
252,/g/precios-combustible-gasolinera-bp-palma---llucmajor-calle-llucmajor-109-en-el-municipio-palma-de-mallorca
253,/g/precios-combustible-gasolinera-autonetoil-carrer-de-son-pendola-1-en-el-municipio-palma-de-mallorca
254,/g/precios-combustible-gasolinera-carrefour-avenida-cardenal-rosell-sn-en-el-municipio-palma-de-mallorca
255,/g/precios-combustible-gasolinera-repsol-calle-llucmajor-148-en-el-municipio-palma-de-mallorca
256,/g/precios-combustible-gasolinera-repsol-carretera-c-715-km.-27-en-el-municipio-palma-de-mallorca
257,/g/precios-combustible-gasolinera-cepsa-carretera-palma-nova---calvia-km.-55-en-el-municipio-calvia
258,/g/precios-combustible-gasolinera-bp-carretera-cala-figuera-el-toro-son-ferrer-km.-sn-en-el-municipio-calvia
259,/g/precios-combustible-gasolinera-bp-calle-illes-balears-1-en-el-municipio-calvia
260,/g/precios-combustible-gasolinera-repsol-butano-carretera-pmv-1031-km.-15-en-el-municipio-calvia
261,/g/precios-combustible-gasolinera-repsol-carretera-c-719-km.-78-en-el-municipio-calvia
262,/g/precios-combustible-gasolinera-cepsa-ronda-de-peguera-sn-en-el-municipio-calvia
263,/g/precios-combustible-gasolinera-cepsa-pm-719-km-124-en-el-municipio-calvia
264,/g/precios-combustible-gasolinera-repsol-carretera-cala-figuera-km.-sn-en-el-municipio-calvia
265,/g/precios-combustible-gasolinera-repsol-carretera-palma-andratx-km-18-km.-18-en-el-municipio-calvia
266,/g/precios-combustible-gasolinera-repsol-carretera-palma-puerto-andratx-km.-19-en-el-municipio-calvia
267,/g/precios-combustible-gasolinera-buga-2000-carrer-m.mediterrania-24-en-el-municipio-calvia
268,/g/precios-combustible-gasolinera-repsol-carretera-pm-808-km.-125-en-el-municipio-eivissa
269,/g/precios-combustible-gasolinera-repsol-carretera-ibiza---san-juan-km.-17-en-el-municipio-eivissa
